id,name,addr,city,ctry,code
251,FIRE MEDIA INTERACTIVE LTD,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
252,FIREBIRD MEDIA LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
253,FIRST EASYTEC LTD,KEMP HOUSE CITY ROAD 152,LONDON,UK,EC1V 2NX
254,FISHEREK LIMITED,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
255,FLASH CLOUD SOLUTIONS LIMITED,INTERNATIONAL HOUSE HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
256,FLIP SPORTS LIMITED,24 GREVILLE STREET ,LONDON,UK,EC1N 8SS
257,FLOWSTATE LIMITED,C/O WESTBURY 2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
258,FLOYD TECHNOLOGIES LIMITED,80-83 LONG LANE ,LONDON,UK,EC1A 9ET
259,FLUID ADS LIMITED,4TH FLOOR 35-39 OLD STREET,LONDON,UK,EC1V 9HX
260,FOOTFALLS LIMITED,SUITE 48 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
261,FOR TOMORROW LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
262,FOREX ADVISER LIMITED,26-28 ELY PLACE 3RD FLOOR,LONDON,UK,EC1N 6TD
263,FORIS HOLDINGS LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
264,FOURCUBE LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2DW
265,FREAKINWARE LIMITED,KEMP HOUSE 152 - 160 CITY ROAD,LONDON,UK,EC1V 2NX
266,FRIENDSHIPUK LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
267,FROGNATION LTD.,FINSGATE 5-7 CRANWOOD STREET,LONDON,UK,EC1V 9EE
268,FRUUMI LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
269,FUNKY LEMON WEB LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
270,FURTHERMORE LTD,411 DAVINA HOUSE 137-149 GOSWELL ROAD,LONDON,UK,EC1V 7ET
271,FUTURA TECHNOLOGIES LIMITED,OFFICE 34 67-68 HATTON GARDEN NEW HOUSE,LONDON,UK,EC1N 8JY
272,GENERALCONSULT LIMITED,34 NEW HOUSE 67-68 HATTON GARDEN,LONDON,UK,EC1N 8JY
273,GENESIS GLOBAL TECHNOLOGY LIMITED,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
274,GENESIS TECHNOLOGY ARCHITECTURE LIMITED,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
275,GEOHUBB LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
276,GEORGIE LIMITED,LASER HOUSE 132-140 GOSWELL ROAD,LONDON,UK,EC1V 7DY
277,GHOSTERY LIMITED,21 HOLBORN VIADUCT ,LONDON,UK,EC1A 2DY
278,GIOASS DOMAINS LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
279,GLOBAL PUBLISHING SOLUTIONS LTD,"DEVONSHIRE HOUSE, 60 GOSWELL ROAD",LONDON,UK,EC1M 7AD
280,GLOBAL TECHNOLOGY LONDON LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
281,GLOOMLASH INCORPORATION LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
282,GLOPAY LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
283,GMCFAR LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
284,GOCARDLESS LTD,338-346 GOSWELL ROAD ,LONDON,UK,EC1V 7LQ
285,GOLDFISH DIGITAL MEDIA LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
286,GOLDSTAR ELECTRONICS LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
287,GOLFERS' MATCH LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
288,GOMABU LIMITED,130 OLD STREET ,LONDON,UK,EC1V 9BD
289,GOOD IDEAS FOR INTERNET LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
290,GOTHAM STREET UK LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
291,GREEN FIELDS TECHNOLOGY LIMITED,BIG STUDIOS 1 EAST POULTRY AVENUE,LONDON,UK,EC1A 9PT
292,GVC LIMITED,15 BUNHILL ROW ,LONDON,UK,EC1Y 8LP
293,GX2 TECHNOLOGY LIMITED,353-355 GOSWELL ROAD ,LONDON,UK,EC1V 7JL
294,HALAL SPOT LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
295,HANDYMARTIAN LTD,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
296,HAYFORD RECRUITMENT LIMITED,LANSDOWNE HOUSE CITY FORUM 250 CITY ROAD,LONDON,UK,EC1V 2QZ
297,HAZELTREE TREASURY UK LTD.,THIRD FLOOR 24 CHISWELL STREET,LONDON,UK,EC1Y 4YX
298,HCF AUTOMATION LIMITED,KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
299,HEALTHFORGE LTD,LASER HOUSE 132-140 GOSWELL ROAD,LONDON,UK,EC1V 7DY
300,HIGHGOLD COMMUNICATIONS LIMITED,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PY
301,HOB CONSULTING LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
302,HOMES YOU SHARE LIMITED,130 OLD STREET ,LONDON,UK,EC1V 9BD
303,HOPESTEAD MANAGEMENT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
304,HU BU LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
305,HUUPE LIMITED,3RD FLOOR 24 CHISWELL STREET,LONDON,UK,EC1Y 4YX
306,HYBRID SMART CONTRACTS MEDIA LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
307,HYDROAUTOMATION LTD,UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
308,HYPERCYBERNETICS COMPUTATIONAL FINANCE RESEARCH CENTER LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
309,IDEABUILDER LIMITED,CLERKENWELL WORKSHOPS 31 CLERKENWELL CLOSE,LONDON,UK,EC1R 0AT
310,IDN PROJECTS LIMITED,"KINGSTON SMITH LLP, DEVONSHIRE HOUSE 60 GOSWELL ROAD",LONDON,UK,EC1M 7AD
311,IGNITE UTILITY LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
312,ILAB LIMITED,THIRD FLOOR 112 CLERKENWELL ROAD,LONDON,UK,EC1M 5SA
313,IMPORT.IO LIMITED,30 CITY ROAD ,LONDON,UK,EC1Y 2AB
314,IMRAN BAIG MOBILE SOFTWARE TECHNOLOGIES LIMITED,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
315,INCOMMON LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
316,INFERENTIAL LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
317,INFINITY HOT TUBS LIMITED,C/O GOLDER BAQA GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
318,INFO STOR LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
319,INFODOCS LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
320,INFORMATION EXPERIENCE LIMITED,28 ELY PLACE 3RD FLOOR,LONDON,UK,EC1N 6TD
321,"INFORMATION SERVICES EXTENDED, UK LTD",150 ALDERSGATE STREET ,LONDON,UK,EC1A 4AB
322,INFORMATION TECHNOLOGY EUROPE PUBLIC SECTOR LIMITED,30 CITY ROAD ,LONDON,UK,EC1Y 2AB
323,INFOSAAS LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
324,INFOSECO LTD,"152 KEMP HOUSE, CITY ROAD ",LONDON,UK,EC1V 2NX
325,INFYLINE LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
326,INGENIOUS BUSINESS SOLUTIONS LIMITED,150 ALDERSGATE STREET ,LONDON,UK,EC1A 4AB
327,INKU CONSULTANTS LIMITED,"GROUND FLOOR , 1 BAKER'S ROW",LONDON,UK,EC1R 3DB
328,INNOVA8E LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
329,INSIGHT INTERNATIONAL (UK) LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
330,INSOLYTICS LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
331,INSTAPRISE SOLUTIONS LIMITED,"SUITE 34, 68 HATTON GARDEN",LONDON,UK,EC1N 8JY
332,INTCOMMERCE LTD,2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
333,INTEGRATION AND SOFTWARE LIMITED,4TH FLOOR CLERKS WELL HOUSE 20 BRITTON STREET,LONDON,UK,EC1M 5UA
334,INTERFAX UK LIMITED,THIRD FLOOR 24 CHISWELL STREET,LONDON,UK,EC1Y 4YX
335,INTERNET E-MAIL LIMITED,3 BAKER'S ROW ,LONDON,UK,EC1R 3DB
336,INTERPRETERS-ON-CALL LTD,THIRD FLOOR 12 EAST PASSAGE,LONDON,UK,EC1A 7LP
337,INTERPRETERSPORTAL LTD,THIRD FLOOR 12 EAST PASSAGE,LONDON,UK,EC1A 7LP
338,INVESTIN LTD,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
339,IOLOGICS LIMITED,SUITE 10 MINERVA HOUSE 26-27 HATTON GARDEN,LONDON,UK,EC1N 8BR
340,IONOVA LIMITED,152-160 CITY ROAD ,LONDON,UK,EC1V 2NX
341,IPROCURE LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
342,IPUBLIC SOLUTIONS LIMITED,2ND FLOOR 145-157 ST JOHN STREET,LONDON,UK,EC1V 4PY
343,IQ PROFESSIONAL LIMITED,88-90 HATTON GARDEN ,LONDON,UK,EC1N 8PG
344,IQSYS SECURITY LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
345,IRATEU LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
346,IRATEU VENTURES LTD,152 CITY ROAD ,LONDON,UK,EC1V 2NX
347,IRISATION LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
348,IS IT MEANT TO DO THAT? LTD,88 GOLDEN LANE ,LONDON|ISLINGTON,UK,EC1Y 0UA
349,ISTOP KIOSKS LIMITED,334 - 336 GOSWELL ROAD ,LONDON,UK,EC1V 7RP
350,IT SYSTEMS SOLUTIONS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
351,IT XPERT LTD,ST JOHNS HOUSE 54 ST JOHN'S SQUARE,LONDON,UK,EC1V 4JL
352,ITEXTPORTAL LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
353,ITFINSG LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
354,ITSALLWEDO LIMITED,39 HATTON GARDEN ,LONDON,UK,EC1N 8EH
355,J.M. COMPUTING LIMITED,BIG STUDIOS 1 EAST POULTRY AVENUE,LONDON,UK,EC1A 9PT
356,JABO LTD,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
357,JAJ CAPITAL LTD,UNIT 34 HATTON GARDEN,LONDON,UK,EC1N 8JY
358,JARVIS MARKETING LTD,137-139 WHITECROSS STREET ,LONDON,UK,EC1Y 8JL
359,JAVELIN BROADBAND LIMITED,28 ELY PLACE 3RD FLOOR,LONDON,UK,EC1N 6TD
360,JIGZONE.COM LIMITED,KLACO HOUSE 28-30 ST JOHN'S SQUARE,LONDON,UK,EC1M 4DN
361,JINITO LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
362,JMC. IT GROUP LIMITED,BIG STUDIOS 1 EAST POULTRY AVENUE,LONDON,UK,EC1A 9PT
363,JS INFORMATION SYSTEMS LIMITED,33 HOLBORN,LONDON,UK,EC1N 2HT
364,JULIUS CAESAR CONSULTANCY LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
365,JWR TRADING LIMITED,THIRD FLOOR 111 CHARTERHOUSE STREET,LONDON,UK,EC1M 6AW
366,KANDOLA LUXURIES LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
367,KARTEPAY TECHNOLOGIES LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
368,KAWIKY LIMITED,30 ELY PLACE THIRD FLOOR OFFICE 30 ELY PLACE,LONDON,UK,EC1N 6TD
369,KEEBOO UK LTD,17TH FLOOR 200 ALDERSGATE STREET,LONDON,UK,EC1A 4HD
370,KEEP IT SIMPLE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
371,KEMLING LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
372,KENNETIQ LTD.,145-147 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
373,KETZEN LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
374,KINGSTON WEB SERVICES LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
375,KITENZI LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
376,KIWANO LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
377,KIYATA LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
378,KLARKWERK LTD,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
379,KNOWLEDGE WORKERS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
380,KUKZY TECHNOLOGIES LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
381,LABGRAPHIQUE. LIMITED,LASER HOUSE 132-140 GOSWELL ROAD,LONDON,UK,EC1V 7DY
382,LADIES SAFE LTD,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
383,LAPTOPFRIENDLY LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
384,LATTISPHERE LTD,33 EYRE STREET HILL ,LONDON,UK,EC1R 5ET
385,LAUGHTON IT SERVICES LIMITED,LASER HOUSE 132-140 GOSWELL ROAD,LONDON,UK,EC1V 7DY
386,LAURENCE POSTGATE LIMITED,28 ELY PLACE ,LONDON,UK,EC1N 6AA
387,LAZY FACTORY LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
388,LEAD LOGIC LTD,OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
389,LEAN PERSPECTIVE LTD,SILK HOUSE 61A GEE STREET,LONDON,UK,EC1V 3RS
390,LEFT SHIFT IT LIMITED,02-Jul CLERKENWELL GREEN,LONDON,UK,EC1R 0DE
391,LEGALEYE (INTERNATIONAL) LIMITED,SUITE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
392,LEGALSURE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
393,LEMON YETI MEDIA LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
394,LENDERWIZE LIMITED,1 CHARTERHOUSE MEWS ,LONDON,UK,EC1M 6BB
395,LENOLA LTD,UNIT 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PG
396,LIFE DESIGN GROUP LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
397,LIGHTNESS IT LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
398,LINKAGE DESIGN LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
399,LITTLEBIRD ONLINE LTD,"BIG STUDIOS, 1 EAST POULTRY AVENUE",LONDON,UK,EC1A 9PT
400,LIVE SMARTER LTD.,FIRST FLOOR THAVIES INN HOUSE 3-4 HOLBORN CIRCUS,LONDON,UK,EC1N 2HA
401,LOCALSTARS LTD,35-39 4TH FLOOR OLD STREET,LONDON,UK,EC1V 9HX
402,LOCATA (HOUSING SERVICES) LIMITED,3 BUNHILL ROW ,LONDON,UK,EC1Y 8YZ
403,LOGIC REPLACE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
404,LOGIC SOFT LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
405,LOGINWORK LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
406,LOKI INTERNET LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
407,LONDON COLLEGE OF INFORMATION TECHNOLOGY LTD,34 NEW HOUSE 67-68 HATTON GARDEN,LONDON,UK,EC1N 8JY
408,LOYALTY PRIME LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
409,LUCKY YOU STUDIO LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
410,LUMINEA IT SOLUTIONS LIMITED,SUITE 48 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
411,LUPON MEDIA LTD,FIRST FLOOR THAVIES INN HOUSE / 3-4 HOLBORN CIRCUS,LONDON,UK,EC1N 2HA
412,LUX REPAIR LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
413,LYCOM CORPORATION LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
414,LYTRIBE LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
415,M/A WORK LIMITED,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
416,MAC CREATIONS LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
417,MADDOX MARKETING LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
418,MAGENTA IT CONSULTING LTD,BM ADVISORY LLLP 82 ST JOHN STREET,LONDON,UK,EC1M 4JN
419,MAGNETIC IT LIMITED,16 ST. MARTIN'S LE GRAND ,LONDON,UK,EC1A 4EN
420,MAILJET SAAS LTD,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT,LONDON,UK,EC1A 2BN
421,MANAGIS LTD,1 EAST POULTRY AVENUE EAST POULTRY AVENUE FIRST FLOOR,LONDON,UK,EC1A 9PT
422,MANDIANT LTD.,21 HOLBORN VIADUCT ,LONDON,UK,EC1A 2DY
423,MAR IT SERVICES LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
424,MASTER IN RESEARCH LTD,KEMP HOUSE 152 - 160 CITY ROAD,LONDON,UK,EC1V 2NX
425,MASTERING MEDIA (PRODUCTION ADVICE) LTD,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
426,MASTERS OF CEREMONIES LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
427,MBA INFORMATION TECHNOLOGY LIMITED,7 PEARTREE STREET ,LONDON,UK,EC1V 3AS
428,MBA TECHNOLOGIES LIMITED,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
429,MC ITS LIMITED,LASER HOUSE 132-140 GOSWELL ROAD,LONDON,UK,EC1V 7DY
430,MCLEOD ENTERPRISES LTD,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
431,MEDECARD LIMITED,84 ST. JOHN STREET ,LONDON,UK,EC1M 4JN
432,MEDIA72 HOSTING LIMITED,OFFICE 36 88-90 HATTON GARDEN,LONDON,UK,EC1N 8PN
433,MEGANETWORK LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
434,MENDI ASSOCIATES LIMITED,APEX HOUSE 24 59 BUNHILL ROW,LONDON,UK,EC1Y 8QW
435,MENUKOOL FOODS LIMITED,34 NEW HOUSE 67-68 HATTON GARDEN,LONDON,UK,EC1N 8JY
436,MILLHOUSE KAYSER LIMITED,80 OLD STREET ,LONDON,UK,EC1V 9AZ
437,MINT DIGITAL LIMITED,WHITE BEAR YARD 144A CLERKENWELL ROAD,LONDON,UK,EC1R 5DF
438,MIQAT TECHNOLOGIES LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
439,MISSINGLETTR LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
440,MOBILE TECTONICS LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
441,MONETIC LIMITED,THIRD FLOOR 112 CLERKENWELL ROAD,LONDON,UK,EC1M 5SA
442,MONGOOSE GRAY LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
443,MOODAWAY LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
444,MORNINGSTAR EUROPE LIMITED,1 OLIVER'S YARD 55-71 CITY ROAD,LONDON,UK,EC1Y 1HQ
445,MORSE GROUP LIMITED,200 ALDERSGATE ALDERSGATE STREET,LONDON,UK,EC1A 4HD
446,MOTION SOLUTIONS LIMITED,GROUND FLOOR 1 BAKER'S ROW,LONDON,UK,EC1R 3DB
447,MPSCOTT LTD,UNIT 34 67-68 HATTON GARDEN NEW HOUSE,LONDON,UK,EC1N 8JY
448,MTIVITY LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
449,MULROONEY MEDIA LIMITED,C/O CAYOS CONSULTING SERVICES 40 BOWLING GREEN LANE,LONDON,UK,EC1R 0NE
450,MUNKEY LIMITED,C/O TOBIN ASSOCIATES 4TH FLOOR,LONDON,UK,EC1N 8LE
451,MX STUDIO LTD,PREMIER HOUSE 12-13 HATTON GARDEN,LONDON,UK,EC1N 8AN
452,MYBUSKS LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
453,MYCLOUDHOST LIMITED,KEMP HOUSE 152/160 CITY ROAD,LONDON,UK,EC1V 2DW
454,MYTODDLR LTD,"INTERNATIONAL HOUSE, 24 HOLBORN VIADUCT",LONDON,UK,EC1A 2BN
455,N.KO ENGINEERING LIMITED,FLAT 1 61 MYDDELTON SQUARE,LONDON,UK,EC1R 1XX
456,NANOTEMPER TECHNOLOGIES LIMITED,17-18 AYLESBURY STREET ,LONDON,UK,EC1R 0DB
457,NARC INTERACTIVE SERVICES LTD,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
458,NATICI LTD,15 BOWLING GREEN LANE ,LONDON,UK,EC1R 0BD
459,NATIVEAPPSTUDIO LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
460,NCP SOFTWARE &  CONSULTANT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
461,NCSOFT EUROPE LIMITED,30 CITY ROAD,LONDON,UK,EC1Y 2AB
462,NEONSTREAM LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
463,NEPHRITE CONSULTANCY LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
464,NERDABILITY LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
465,NET SELECT LIMITED,335 CITY ROAD,LONDON,UK,EC1V 1LJ
466,NETRESULT SOLUTIONS LIMITED,THE JOHNSON BUILDING 77 HATTON GARDEN,LONDON|ENGLAND,UK,EC1N 8JS
467,NETSWITCH LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
468,NETWORK &  SECURITY LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
469,NETWORK FIBRE LIMITED,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
470,NETWORKUP LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
471,NEUTRINO NETWORKS LTD,"THIRD FLOOR, 24 CHISWELL STREET",LONDON,UK,EC1Y 4YX
472,NEW BYTE LIMITED,74 FLORIN COURT 6-9 CHARTERHOUSE SQUARE,LONDON,UK,EC1M 6EX
473,NEW GAME TECHNOLOGIES LIMITED,"SUITES 1.04 AND 1.05, EAGLE HOUSE 167 CITY ROAD",LONDON,UK,EC1V 1AW
474,NEW MODEL IDENTITY LIMITED,KEMP HOUSE CITY ROAD,LONDON,UK,EC1V 2NX
475,NEWGEN TECHNOLOGIES LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
476,NEWNRG PTY LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
477,NINESTARS INFORMATION TECHNOLOGIES UK LIMITED,DEVONSHIRE HOUSE 60 GOSWELL ROAD,LONDON,UK,EC1M 7AD
478,NINETY NORTH LIMITED,10 COLDBATH SQUARE,LONDON,UK,EC1R 5HL
479,NK IT SOLUTIONS LIMITED,145-157 ST. JOHN STREET ,LONDON,UK,EC1V 4PW
480,NMX IT SOLUTIONS LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
481,NOBLE WEB SOLUTIONS LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
482,NODEX LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
483,NOVELLIC LIMITED,THIRD FLOOR 24 CHISWELL STREET,LONDON,UK,EC1Y 4YX
484,NPIRE DIGITAL LTD,KEMP HOUSE 160 CITY ROAD,LONDON,UK,EC1V 2NX
485,NUMBER VIOLET LIMITED,INTERNATIONAL HOUSE 24 HOLBORN VIADUCT CITY OF LONDON,LONDON,UK,EC1A 2BN
486,NUTRALIFE SOLUTION LIMITED,"INTERNATIONAL HOUSE, 24 HOLBORN VIADUCT",LONDON,UK,EC1A 2BN
487,O'HWAYS LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
488,ODEGRA LIMITED,6.4 ZIGGURAT BUILDING 60-66 SAFFRON HILL ,LONDON,UK,EC1N 8QX
489,OFFSITE DATA STORAGE LIMITED,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
490,OIL INTERNET LIMITED,UNIT 410 27-31 CLERKENWELL CLOSE,LONDON,UK,EC1R 0AU
491,ONLINE DIGITAL SOLUTIONS LIMITED,34 NEW HOUSE HATTON GARDEN,LONDON,UK,EC1N 8JY
492,ONLINE SECURE LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
493,OPEN SOURCE INNOVATIONS LIMITED,UNIT 36 / SUITE 36 / OFFICE 36 UNIT 36 / SUITE 36 / OFFICE 36 88 - 90 HATTON GARDEN,LONDON|HOLBORN,UK,EC1N 8PG
494,OPSFACTORY LIMITED,KEMP HOUSE 152-160 CITY ROAD,LONDON,UK,EC1V 2NX
495,OPTICONVERT LTD,145-157 ST JOHN STREET ,LONDON,UK,EC1V 4PW
496,OPTIMALCORE LTD,KEMP HOUSE 152 CITY ROAD,LONDON,UK,EC1V 2NX
